"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"Audi","R8","Car",430,8,"Manual",6,"All Wheel Drive",4250,4.57,43,"Not eqipped",0.0489,0.92,372,0.007,23.8,"Three-way catalyst"
2011,"Audi","R8","Car",430,8,"Manual",6,"All Wheel Drive",4000,4.57,43,"Not eqipped",0.1041,0.94,355,0.007,24.9,"Three-way catalyst"
2011,"Audi","R8","Car",525,10,"Automated Manual",6,"All Wheel Drive",4250,4.06,43,"Not eqipped",0.1111,1.09,363,0.015,24.2,"Three-way catalyst"
2011,"Audi","R8","Car",560,,"Manual",6,"All Wheel Drive",4000,4.06,43,"Not eqipped",0.0637845,1.0927967,391.0002335,0.0122024,22.6,
2011,"Audi","R8","Car",525,,"Automatic",6,"All Wheel Drive",4000,4.06,43,"Not eqipped",0.1267,1.31,355,0.017,24.8,
2011,"Audi","R8","Car",525,10,"Manual",6,"All Wheel Drive",4250,4.06,43,"Not eqipped",0.1084,1.41,387,0.01,22.7,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",6000,3.53,30.4,"Not eqipped",0.0004749,0.0186057,371.6106239,0.0068407,16.7,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",5250,3.53,30.4,"Not eqipped",0.0034,0.02,352,0.0107,25.2,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",6000,3.53,30.4,"Not eqipped",0.0051,0.0242,361,0.0083,24.6,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",5250,3.53,30.4,"Not eqipped",0.0023,0.0267,349,0.0093,17.7,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",6000,3.53,30.4,"Not eqipped",0.0021317,0.0283128,379.4575782,0.0083653,23.4,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",6000,3.53,30.4,"Not eqipped",0.0023,0.0344,357,0.0126,17.3,"Three-way catalyst"
2011,"Bentley","Continental Supersports","Car",621,12,"Automatic",6,"All Wheel Drive",5500,3.53,30.4,"Not eqipped",0.0033,0.056,359,0.0093,17.2,"Three-way catalyst"
